Run,Event,pt1,eta1,phi1,Q1,type1,sigmaEtaEta1,HoverE1,isoTrack1,isoEcal1,isoHcal1,pt2,eta2,phi2,Q2,type2,sigmaEtaEta2,HoverE2,isoTrack2,isoEcal2,isoHcal2
163286,111236931,27.0851,1.1020,-1.5046,1,EB,0.0094,0.0280,0.0000,4.4481,0.0000,44.4463,2.3973,2.3744,-1,EE,0.0275,0.0927,7.9635,1.6184,2.6274
163286,111048004,30.6102,0.2768,-0.6314,1,EB,0.0183,0.0306,17.9520,15.5897,11.6730,38.8784,1.8900,2.4937,-1,EE,0.0243,0.0281,6.3075,7.9815,1.0104
163286,111539356,32.0828,0.6086,-0.7707,-1,EB,0.0120,0.0000,9.3729,10.4890,1.6239,31.5522,-1.9300,3.1284,-1,EE,0.0317,0.0266,3.2131,4.4783,2.2030
163286,111599320,39.0517,1.2233,2.4651,-1,EB,0.0172,0.0173,9.5607,48.6829,3.2013,74.3241,0.2726,-0.9063,1,EB,0.0128,0.0000,13.7772,20.5445,0.7650
163286,111667969,28.8167,-0.5104,-3.0289,1,EB,0.0093,0.1196,19.5014,8.7516,0.9624,30.3279,2.0981,-0.2421,-1,EE,0.0277,0.0457,8.8067,2.4999,4.5845
163286,111743425,28.2928,0.7112,-2.0066,1,EB,0.0100,0.1082,11.3029,7.3589,11.0049,46.1897,1.9880,0.8736,1,EE,0.0182,0.0119,1.0291,1.2289,3.9225
163286,111543719,30.2060,-2.2112,-0.5688,1,EE,0.0285,0.0836,10.3601,2.6597,19.2606,33.0941,-2.0727,2.6750,-1,EE,0.0237,0.0000,13.4279,2.7986,5.3870
163286,111418450,28.9414,-1.4138,-1.3415,1,EB,0.0203,0.0000,17.3647,15.2421,3.9518,34.5373,0.5285,1.2036,-1,EB,0.0103,0.0273,5.4899,9.1464,4.2586
163286,111481046,45.7907,-1.2370,2.5198,-1,EB,0.0095,0.0640,25.3187,10.6242,5.3227,57.3001,-2.2999,-0.6810,1,EE,0.0284,0.0000,5.1006,11.1048,0.9430
163286,111608533,27.4528,1.1933,2.1707,-1,EB,0.0132,0.0562,20.9430,15.3075,1.6154,45.0307,-0.8784,1.5022,1,EB,0.0091,0.0000,7.5265,2.3566,0.5452
163286,111633837,27.4516,-1.2671,2.0777,-1,EB,0.0157,0.0843,24.2216,11.1041,2.3866,61.9930,-1.9841,-0.8427,-1,EE,0.0176,0.0000,8.6197,6.8922,5.1297
163286,112176337,46.4109,-0.8293,-2.5834,-1,EB,0.0100,0.0172,17.3215,11.9628,0.0000,40.3177,0.1105,0.6385,-1,EB,0.0093,0.0742,10.2049,5.7896,2.1383
163286,112128579,46.4312,0.1925,0.6714,-1,EB,0.0092,0.0000,0.0000,0.7556,0.8656,48.4596,-0.2505,-2.5705,1,EB,0.0093,0.0000,0.0000,1.6608,0.0000
163286,111928032,28.0401,2.3304,-2.8391,-1,EE,0.0224,0.0932,1.6728,0.7684,1.5221,37.1915,2.2595,0.6827,-1,EE,0.0251,0.0000,0.0000,1.7823,2.1038
163286,112545460,56.2443,0.6835,-1.0292,-1,EB,0.0139,0.0631,3.2016,6.8357,0.0000,49.7520,0.5920,1.8216,1,EB,0.0095,0.1230,21.1632,8.7492,12.6618
163286,112541044,34.0134,0.0769,-1.7860,1,EB,0.0092,0.0606,35.5071,7.5548,21.3702,48.6909,-0.6412,1.6216,-1,EB,0.0175,0.0781,37.3667,9.2615,13.9970
163286,112300423,37.0745,-1.4465,-2.6182,1,EB,0.0104,0.1423,17.0332,6.9310,3.1226,55.2944,-0.4972,0.6777,-1,EB,0.0124,0.0199,16.2639,11.0039,1.9309
163286,112589929,40.8152,-0.7453,2.4749,1,EB,0.0198,0.1460,13.9243,12.0798,2.0783,47.7295,-1.7906,-0.8077,1,EE,0.0181,0.0554,10.2701,3.7040,6.1213
163286,112294465,27.2907,-0.3233,-1.1414,1,EB,0.0105,0.0000,14.1173,30.9958,4.1477,59.8904,-0.5238,1.9323,1,EB,0.0115,0.0145,8.9099,19.4593,8.3136
163286,112491341,42.5847,-0.3434,2.7390,-1,EB,0.0084,0.0000,4.2308,3.6776,0.6048,36.0532,1.0346,-0.4859,-1,EB,0.0093,0.0723,13.2215,1.7118,6.0393
163286,113125184,42.5004,0.4887,-0.6357,1,EB,0.0098,0.0152,0.0000,2.1220,0.0000,44.0825,1.1462,2.4893,-1,EB,0.0090,0.0000,0.0000,0.9978,0.0000
163286,112790226,26.4972,1.2911,-1.8401,-1,EB,0.0162,0.1154,48.4880,21.8415,2.5761,54.6611,1.2302,1.3654,-1,EB,0.0131,0.0000,33.9239,12.9429,4.3635
163286,112816146,41.4244,-0.2164,-2.3486,-1,EB,0.0075,0.0000,0.0000,0.6326,0.0000,40.4068,0.5327,0.8078,1,EB,0.0088,0.0000,0.0000,0.9396,0.0000
163286,112809953,31.3825,-1.3672,1.1497,-1,EB,0.0086,0.0000,0.0000,3.2336,0.0000,51.2533,-0.2099,-2.8327,1,EB,0.0087,0.0000,0.0000,2.1981,0.0000
163286,113004694,42.8442,-1.1944,0.4545,1,EB,0.0086,0.0000,0.0000,1.4586,0.0000,57.2834,-1.2952,2.6551,-1,EB,0.0087,0.0064,1.0486,2.5506,0.0000
163297,107880585,31.3190,-2.3210,-0.3975,1,EE,0.0319,0.1128,5.0789,4.0400,6.2017,44.2013,-1.0754,2.9415,1,EB,0.0123,0.0105,5.5443,6.9679,5.1040
163297,107872385,34.8294,1.5803,0.9523,1,EE,0.0210,0.0891,29.4175,9.7283,12.0762,75.3904,2.2052,-2.2461,1,EE,0.0212,0.0506,13.7455,0.8993,7.9743
163297,107882006,32.0621,-1.1896,0.8848,1,EB,0.0095,0.0000,1.2507,3.1936,1.4433,37.2826,-2.4964,-2.0696,-1,EE,0.0310,0.0045,0.0000,0.2376,0.5720
163297,108147307,46.0719,-0.1043,-2.1483,1,EB,0.0087,0.0166,3.6395,3.6299,3.2939,29.0065,0.6613,1.0828,1,EB,0.0106,0.0000,13.8741,5.8518,2.0055
163297,108265275,42.1168,1.8216,0.1363,-1,EE,0.0151,0.0000,0.0000,0.8044,0.0000,46.9726,1.3165,2.9054,1,EB,0.0071,0.0000,0.0000,1.3198,0.0000
163297,108372443,32.1196,0.4883,1.8590,1,EB,0.0101,0.0000,6.5345,10.6081,1.8724,27.1513,0.0965,-1.3854,1,EB,0.0103,0.0000,7.8205,7.2871,0.0000
163297,107925754,39.2970,-1.3932,0.9786,-1,EB,0.0090,0.0086,0.0000,1.9536,0.6042,42.6272,-0.3807,-2.3557,1,EB,0.0092,0.0000,0.0000,1.6318,1.4079
163297,108135234,56.3057,0.0844,-0.7503,1,EB,0.0098,0.0293,0.0000,1.7099,0.0000,37.9343,-0.5059,2.0608,-1,EB,0.0090,0.0000,0.0000,4.4809,0.7994
163297,108286097,32.4930,-1.2531,-2.3971,-1,EB,0.0081,0.0732,12.7593,7.4484,1.5908,42.7632,-0.8868,0.8805,1,EB,0.0089,0.0119,12.2688,4.1086,4.5449
163297,108255509,25.0754,-0.2038,-1.3431,-1,EB,0.0089,0.0000,3.2908,2.3472,1.6788,54.4322,1.3460,1.3122,1,EB,0.0072,0.0000,0.0000,2.1450,0.7838
163297,108381381,68.1081,0.9411,2.9859,1,EB,0.0118,0.0243,0.0000,3.6592,2.8717,40.9087,0.0838,-0.2745,1,EB,0.0178,0.0602,3.5270,15.0019,1.2465
163297,108187931,41.7491,0.5629,-0.0211,1,EB,0.0090,0.1032,24.4972,17.6716,5.4197,38.0894,-1.2535,2.4736,1,EB,0.0101,0.0302,16.2982,8.2150,5.5910
163297,107893324,33.6680,0.0808,0.7792,-1,EB,0.0125,0.0225,18.5917,6.7517,4.3385,28.5997,-1.4153,-2.3666,-1,EB,0.0113,0.0000,14.1399,6.4653,0.0000
163297,108726798,52.6790,1.1193,3.0118,1,EB,0.0076,0.0000,0.0000,1.4298,0.0000,40.3707,1.1695,0.0885,-1,EB,0.0091,0.0000,0.0000,2.8182,1.1146
163297,108957396,30.9473,-0.2114,0.7357,1,EB,0.0120,0.1041,4.0168,11.0235,3.8151,38.6400,1.2852,-2.2794,1,EB,0.0103,0.0246,11.6381,11.3271,0.4675
163297,108571786,37.3610,-1.1281,-2.2090,1,EB,0.0093,0.0000,0.0000,2.3922,0.0000,39.6194,-2.4538,1.5292,-1,EE,0.0279,0.0037,0.0000,0.1197,3.1474
163297,108833939,28.8562,1.8914,2.6498,1,EE,0.0168,0.0000,1.5253,3.1817,2.5452,35.6487,2.4184,-0.5405,1,EE,0.0380,0.0844,0.0000,0.9388,3.9003
163297,108463705,41.2194,-2.3233,1.8127,1,EE,0.0232,0.0418,0.0000,0.8497,1.2428,42.3769,-1.6238,-1.4690,-1,EE,0.0117,0.0000,0.0000,1.8607,1.0442
163297,108792034,33.2566,-0.7809,1.6528,1,EB,0.0123,0.0983,3.6139,8.8133,3.3050,31.9958,0.7755,-1.0885,-1,EB,0.0134,0.0000,0.0000,9.7636,0.0000
163297,108415113,31.7421,-0.2309,-0.1001,-1,EB,0.0212,0.1195,27.6759,11.2105,0.0000,38.1372,1.2266,2.9931,1,EB,0.0140,0.1233,1.7833,5.7624,7.0495
163297,108422353,54.6970,1.9138,-0.3700,-1,EE,0.0210,0.0076,14.7141,4.5049,1.2959,29.4078,0.3030,2.5373,-1,EB,0.0141,0.0660,19.9794,11.2090,7.3191
163297,109373176,41.8830,-1.4227,-1.6677,-1,EB,0.0108,0.0000,27.6332,10.9350,5.3263,33.5970,-0.9028,1.7146,1,EB,0.0193,0.1242,31.7928,19.4486,17.6942
163297,109071364,31.0443,-0.8126,-0.8069,-1,EB,0.0090,0.1098,0.7332,4.0669,0.0000,35.8360,-1.0917,2.4356,-1,EB,0.0085,0.0569,7.0570,5.1177,0.6035
163297,109073731,33.3654,-2.2227,-0.4323,1,EE,0.0316,0.0586,14.4367,2.7209,6.9289,29.2854,-0.4548,2.7936,1,EB,0.0151,0.1468,30.3427,14.7015,7.4129
163297,109083718,27.3174,-0.5309,-1.7183,1,EB,0.0090,0.0294,9.9957,8.2989,0.0000,34.9745,1.3758,0.6475,1,EB,0.0124,0.0345,6.5407,6.1339,1.3898
163297,109254174,32.0819,0.7441,2.1708,-1,EB,0.0126,0.0675,14.0683,31.7038,1.2486,34.5334,-1.3878,-1.2277,1,EB,0.0114,0.1374,32.1882,10.3471,0.8770
163297,109938524,35.1104,-1.1777,-2.8354,-1,EB,0.0069,0.0000,0.0000,0.8899,0.0000,54.2258,-0.5563,0.6323,1,EB,0.0089,0.0000,0.0000,2.7188,0.0000
163297,109954972,45.6940,1.1687,-1.5809,1,EB,0.0103,0.0629,16.9330,7.9684,7.7987,28.8442,-0.2992,2.9526,-1,EB,0.0138,0.1248,22.0835,10.0830,5.4896
163297,109991796,45.5042,-1.8730,1.7371,-1,EE,0.0199,0.0066,9.2435,3.3160,7.5073,33.2409,-2.0409,-1.3069,-1,EE,0.0279,0.0135,0.0000,4.2149,5.3911
163297,109706261,30.2523,-1.3406,-1.3254,1,EB,0.0104,0.0766,6.9805,2.4485,2.1713,51.4067,-2.1057,1.2052,-1,EE,0.0237,0.1162,2.8164,3.2020,6.8668
163297,109798544,32.9343,0.4316,-0.1257,1,EB,0.0109,0.0000,10.5421,4.0265,0.0000,27.3572,0.9919,-3.1250,1,EB,0.0117,0.0000,3.7576,7.9182,2.2992
163297,109896096,54.7418,-1.4417,-2.9590,1,EB,0.0130,0.0000,15.7814,8.5229,3.1499,33.9002,-2.4482,0.5788,-1,EE,0.0368,0.0379,0.0000,7.2681,6.4423
163297,109555006,41.4741,-0.5697,2.1590,-1,EB,0.0090,0.0000,0.0000,1.7348,0.0000,38.5444,0.4691,-0.9953,1,EB,0.0083,0.0000,0.7994,0.9312,0.0000
163297,109642025,41.9824,2.2082,-1.3026,-1,EE,0.0232,0.0000,0.0000,0.2695,0.4107,33.5410,2.3507,1.9173,1,EE,0.0292,0.0157,0.0000,14.6716,2.7276
163297,109542934,34.0083,-0.3554,-2.8270,1,EB,0.0087,0.0000,0.0000,1.4219,0.0000,31.2227,-2.0644,0.5567,-1,EE,0.0197,0.0000,0.0000,1.0094,1.8396
163297,110021134,30.1870,1.8187,-0.8178,1,EE,0.0173,0.0000,0.0000,0.3572,0.0000,31.7476,-0.1293,2.1243,-1,EB,0.0097,0.0000,0.0000,1.8301,0.0000
163297,109833127,38.6908,0.6629,3.0106,1,EB,0.0118,0.0823,24.7274,7.0229,3.1877,48.8100,0.5383,-0.0113,1,EB,0.0139,0.0000,8.9146,13.9776,0.0000
163297,109554427,30.4758,0.5961,-2.1916,-1,EB,0.0093,0.0000,8.5176,16.1664,0.0000,31.2203,0.9254,0.6427,1,EB,0.0096,0.0517,4.7168,4.5291,1.7556
163297,109916213,37.1779,1.3128,1.0004,1,EB,0.0087,0.0000,0.0000,1.6325,0.0000,49.9082,0.5249,-2.3731,-1,EB,0.0087,0.0000,0.0000,2.6746,0.0000
163297,112288913,48.7003,-2.0539,1.3962,-1,EE,0.0191,0.0149,16.6461,5.7386,3.0137,29.0559,-1.3410,-1.8308,1,EB,0.0114,0.0910,27.0977,15.0013,4.7752
163297,112207630,25.6799,-0.6067,2.7233,-1,EB,0.0144,0.0578,38.0559,8.9104,11.4022,84.0302,-1.9517,-0.4850,1,EE,0.0165,0.0175,9.1335,5.2603,2.0107
163297,111925501,42.3919,0.2663,0.7598,1,EB,0.0091,0.0887,6.5652,4.4893,1.9765,39.2130,1.0284,-2.1654,-1,EB,0.0118,0.0703,16.9075,14.4838,7.0794
163297,112077341,36.5460,-0.2147,-1.8858,-1,EB,0.0125,0.0503,8.0374,23.8020,4.5811,25.6677,-2.4808,2.0026,1,EE,0.0731,0.0139,23.2239,15.3411,3.3578
163297,112018111,34.7145,-0.8709,-0.5679,1,EB,0.0096,0.0784,15.8714,7.6847,5.4549,31.9188,-2.3199,2.7417,-1,EE,0.0379,0.0066,0.0000,5.0902,2.2586
163297,112187239,27.7645,0.0221,1.9037,-1,EB,0.0182,0.1113,20.9889,16.4456,0.8015,35.4686,-0.9204,-1.2650,1,EB,0.0128,0.0000,2.0672,3.1093,1.2266
163297,112268003,29.9641,0.4157,0.9242,-1,EB,0.0099,0.0350,6.0493,6.5958,4.2771,33.0811,-1.2907,-2.1488,1,EB,0.0136,0.1043,16.7981,6.8012,0.7467
163297,112040068,33.1772,2.0996,-1.9500,1,EE,0.0215,0.0000,0.0000,0.1958,0.0000,50.6711,1.4383,1.3471,-1,EB,0.0080,0.0000,1.1509,1.4837,0.3804
163297,112254924,39.0073,-0.4132,-1.1398,-1,EB,0.0089,0.0000,0.0000,1.5840,0.0000,35.3226,-1.7361,1.9446,1,EE,0.0152,0.0000,0.0000,1.1269,0.3295
163297,112007740,31.6116,1.2834,0.0194,-1,EB,0.0136,0.0945,54.1034,25.2161,9.1443,37.8593,0.0276,3.0687,-1,EB,0.0119,0.0682,33.2679,16.5021,0.8254
163297,112191369,25.0509,1.0349,1.4611,-1,EB,0.0083,0.0305,14.2434,4.9543,13.4113,39.2858,1.7157,-0.9008,-1,EE,0.0180,0.0152,8.3530,3.9921,1.1889
163297,112714837,57.7414,-1.5411,0.9593,1,EE,0.0103,0.0385,0.0000,1.8014,1.8363,118.6320,-1.3230,-0.0617,-1,EB,0.0090,0.0000,0.0000,1.1932,0.0000
163297,112541462,37.5099,1.1885,2.0297,-1,EB,0.0133,0.0379,27.7677,7.7944,4.8887,50.7873,0.3613,-2.0818,-1,EB,0.0223,0.0479,7.2485,13.7478,0.0000
163297,112633374,32.8149,1.2375,2.8618,-1,EB,0.0114,0.0269,34.8755,19.8856,13.3328,33.1147,1.1219,0.1613,1,EB,0.0086,0.0000,16.3736,8.3628,2.1618
163297,112418467,28.6112,-0.9140,0.9724,-1,EB,0.0089,0.0189,5.4869,15.2802,7.7603,39.6449,-2.4450,-1.9625,-1,EE,0.0382,0.0176,7.2472,2.3774,1.1420
163297,113446336,32.6258,0.1256,1.1590,-1,EB,0.0094,0.0000,0.0000,1.6660,0.0000,32.9164,1.3832,-2.0024,1,EB,0.0084,0.0000,0.0000,1.7694,0.0000
163297,113234263,25.4207,0.2590,0.9680,-1,EB,0.0109,0.0000,5.1768,10.2249,2.5267,34.4379,-1.5707,-2.1287,-1,EE,0.0107,0.0314,66.3162,25.3923,20.7372
163297,113049127,51.7151,-0.6552,-0.5382,1,EB,0.0093,0.0000,6.0534,6.9292,0.9665,40.4855,-1.7151,2.4880,-1,EE,0.0181,0.0000,0.0000,4.5550,0.8937
163297,113153380,43.1149,-1.0026,1.8659,1,EB,0.0136,0.0000,36.2157,32.1716,3.6720,31.2428,0.3970,-1.5613,-1,EB,0.0119,0.1397,7.5798,9.1683,7.6429
163297,113245193,40.1164,0.2180,-2.0941,-1,EB,0.0087,0.0000,2.0976,8.7120,7.9936,38.7305,1.0543,0.7429,1,EB,0.0132,0.0000,5.8824,16.0350,7.1902
163297,112984045,38.8647,0.3251,2.0624,-1,EB,0.0071,0.0000,1.0581,1.8623,0.0000,32.0001,1.6517,-0.8749,1,EE,0.0108,0.0000,0.0000,1.6281,0.4538
163297,113007045,45.9894,1.0604,-1.5617,-1,EB,0.0131,0.0000,11.3853,5.4815,4.3507,49.4297,2.0713,1.5101,1,EE,0.0289,0.0372,0.0000,4.6870,0.6493
163297,113392565,74.6685,2.1424,1.7237,1,EE,0.0254,0.0853,7.8812,2.6951,7.6696,25.6783,1.1454,-1.6571,1,EB,0.0096,0.0904,8.2125,6.6106,6.2521
163297,113583483,55.2952,-1.5541,-2.4198,-1,EE,0.0097,0.0000,0.7315,2.1562,0.0000,25.3607,-0.3928,1.9295,-1,EB,0.0151,0.0000,7.8186,2.4611,2.0308
163297,113509135,48.2918,1.8947,-0.5952,1,EE,0.0173,0.0000,0.0000,0.6802,0.0000,38.3377,1.3062,2.5101,-1,EB,0.0085,0.0000,1.3003,1.6697,0.0000
163297,113949276,25.4707,1.3646,1.7027,-1,EB,0.0137,0.0643,0.8074,6.4347,6.1733,35.9528,2.1482,-1.2722,1,EE,0.0213,0.0453,10.2121,0.8152,3.4494
163297,113678106,29.9705,-0.5914,-0.5787,-1,EB,0.0126,0.1321,6.7103,8.9542,0.6934,42.1778,0.1524,1.9020,1,EB,0.0179,0.0000,13.9470,11.1487,0.0000
163297,113893076,56.9677,0.8968,-2.5180,-1,EB,0.0099,0.0333,13.1156,5.3066,10.1352,40.9360,-0.4030,1.0641,-1,EB,0.0197,0.0831,45.6768,26.1317,8.1415
163297,113896387,39.2767,-0.1870,-1.6651,-1,EB,0.0090,0.0191,0.0000,3.0768,0.0000,37.8305,-1.0767,1.5264,1,EB,0.0079,0.0000,0.0000,2.5508,2.1673
163301,8433971,33.8874,0.9193,1.8077,-1,EB,0.0109,0.0548,9.2804,7.9991,4.6497,49.8638,1.3430,-0.8953,1,EB,0.0132,0.1041,17.8053,11.3466,1.2646
163301,8651368,30.4661,-0.8973,1.4997,-1,EB,0.0156,0.1275,19.1394,4.6483,4.4281,54.1655,-1.9847,-1.3874,1,EE,0.0224,0.0092,0.0000,3.0635,2.4793
163301,8695136,42.4882,0.2098,-3.0732,1,EB,0.0148,0.0000,6.0895,6.1313,3.6669,69.6203,1.1475,0.4093,1,EB,0.0149,0.0195,26.4633,8.6553,7.5056
163301,8364503,42.2585,-1.9577,-2.7742,1,EE,0.0181,0.0000,0.0000,1.9199,0.8729,50.5169,-1.7337,0.8011,-1,EE,0.0124,0.0000,0.0000,1.2856,0.0000
163301,8387791,48.9309,2.4129,-2.9533,-1,EE,0.0257,0.0000,0.0000,0.7456,3.6542,46.6971,2.1248,0.1817,1,EE,0.0212,0.0112,0.0000,0.3544,0.9388
163301,8597815,38.2838,-1.8967,1.0461,1,EE,0.0141,0.0093,16.4961,4.5001,1.3347,38.3765,-2.4236,-1.9787,1,EE,0.0558,0.0045,0.0000,9.3043,2.4378
163301,8294566,79.7847,0.9638,1.5978,-1,EB,0.0156,0.0248,24.4828,23.6315,4.9843,66.5382,0.1363,0.0951,1,EB,0.0093,0.1440,30.5900,13.8556,7.7367
163301,8552598,29.8286,-0.9147,1.7258,-1,EB,0.0091,0.0000,4.2939,1.8110,1.5059,40.7777,0.6657,-1.8590,1,EB,0.0088,0.0000,0.0000,2.6168,0.5745
163301,8543196,44.5942,-0.8770,-2.7417,1,EB,0.0113,0.1005,18.2191,7.7780,3.0720,38.1175,-1.1024,-0.0919,-1,EB,0.0183,0.1342,19.0325,14.2833,14.5327
163301,8675225,25.0421,1.0735,2.9361,1,EB,0.0187,0.0861,19.3453,17.6813,1.5540,65.3430,-1.1447,-2.8224,-1,EB,0.0096,0.0229,1.3134,6.5118,3.9775
163301,8651578,42.3352,-1.5724,-1.6064,1,EE,0.0103,0.0000,0.0000,2.2867,0.0000,39.8635,-2.3762,1.5316,-1,EE,0.0289,0.0000,0.0000,0.1763,0.0000
163301,8639696,50.4286,-1.2855,2.6986,-1,EB,0.0089,0.0000,0.0000,0.9647,0.0000,37.2085,-1.7479,-0.1439,1,EE,0.0206,0.0000,0.0000,0.9597,0.0000
163301,8521703,37.9026,-0.7825,-1.1259,-1,EB,0.0091,0.0370,22.5821,6.3317,1.6953,31.4491,-1.6761,1.0674,-1,EE,0.0189,0.1050,9.4173,9.3340,15.5016
163301,8759519,25.8131,1.6466,0.4441,1,EE,0.0185,0.0568,336.2620,7.2218,2.0784,51.4315,1.7965,-2.7524,-1,EE,0.0155,0.0564,30.3957,10.2471,1.6621
163301,9035555,44.7307,-0.7385,-1.3047,1,EB,0.0157,0.0591,10.2308,7.6001,1.0948,51.0204,-0.1143,1.1131,1,EB,0.0092,0.0467,24.5812,13.9315,11.0591
163301,9213067,54.8983,0.0652,-1.7682,1,EB,0.0099,0.0000,0.0000,1.6345,0.0000,32.8185,-0.6234,1.4005,-1,EB,0.0091,0.0000,0.0000,1.0878,0.0000
